ProfileCreationDate,NoofLogin,ProfileViews,InterestSent,PlanPurchase,SalesTeamCallMade,FirstPlanPurchase,Gender,Age,City,Income,Education,Occupation,profilecreatedBy,maritalStatus,Height
2024-03-17,0,3296,356,3,1,2024-03-21,Male,50,Kolkata,INR 6 Lacs - 8 Lacs,Higher Secondary School,Salaried - Private,Self,Widow / Widower,5.07
2024-03-25,0,1054,4,3,1,2024-03-29,Male,27,Howrah,INR 15 Lacs - 18 Lacs,B.Tech,Business/Self Employed,Parent,Never Married,5.11
2024-03-31,0,5394,345,3,1,2024-04-01,Male,31,Uluberia,INR 12 Lacs - 15 Lacs,MBA,Salaried - Private,Parent,Never Married,5.07
2024-04-02,0,88,14,3,4,2024-06-12,Male,31,Gorakhpur,INR 2 Lacs - 4 Lacs,B.A,Business/Self Employed,Self,Never Married,5.04
2024-04-04,0,163,59,3,0,2024-04-05,Female,28,Kolkata,INR 4 Lacs - 6 Lacs,M.A,Business/Self Employed,Parent,Divorced,5.03
2024-04-07,0,98,7,3,4,2024-04-13,Male,37,Bankura,INR 4 Lacs - 6 Lacs,High School,Salaried - Private,Self,Never Married,6.0
2024-04-08,0,142,2,3,1,2024-04-08,Female,27,Kolkata,INR 6 Lacs - 8 Lacs,MBBS,Salaried - Government/PSU,Relative,Never Married,5.0
2024-04-10,0,446,48,3,1,2024-04-11,Male,36,Howrah,Upto INR 2 Lacs,B.Sc,Business/Self Employed,Self,Never Married,5.06
2024-04-13,0,1188,11,3,1,2024-04-13,Male,29,Kolkata,INR 20 Lacs - 30 Lacs,B.Com (Hons.),Business/Self Employed,Parent,Never Married,6.01
2024-04-16,0,3857,354,3,3,2024-04-17,Male,32,Naihati,INR 6 Lacs - 8 Lacs,B.Com (Hons.),Business/Self Employed,Self,Never Married,5.04
2024-04-20,0,297,6,3,1,2024-04-24,Female,33,Ranaghat,INR 4 Lacs - 6 Lacs,Post Doctorate,Professional,Parent,Never Married,5.05
2024-04-21,0,1158,605,3,7,2024-04-21,Male,34,Dainhat,INR 12 Lacs - 15 Lacs,LLB,Professional,Parent,Never Married,5.03
2024-04-22,0,33,0,3,2,2024-04-27,Female,40,Bengaluru,INR 20 Lacs - 30 Lacs,M.Sc,Salaried - Private,Parent,Divorced,5.03
2024-04-25,0,102,2,3,4,2024-04-27,Female,36,Diamond Harbour,INR 2 Lacs - 4 Lacs,M.A,Salaried - Government/PSU,Relative,Never Married,5.02
2024-04-27,0,393,81,3,2,2024-04-28,Male,30,Kulti,INR 8 Lacs - 10 Lacs,BE,Salaried - Private,Self,Never Married,5.1
2024-05-01,0,404,1,3,2,2024-05-01,Female,32,Kolkata,Not Working,M.A,Professional,Parent,Never Married,5.01
2024-05-04,0,697,90,3,2,2024-05-05,Male,43,Murshidabad,INR 4 Lacs - 6 Lacs,BCA,Business/Self Employed,Sibling,Divorced,5.11
2024-05-05,0,308,23,3,1,2024-05-07,Female,30,Kolkata,INR 2 Lacs - 4 Lacs,LLB,Business/Self Employed,Parent,Never Married,5.03
2024-05-09,0,242,5,3,1,2024-05-09,Female,34,Kalyani,INR 6 Lacs - 8 Lacs,Post Doctorate,Salaried - Government/PSU,Parent,Never Married,5.03
2024-05-09,0,4959,86,3,2,2024-05-10,Male,28,Bardhaman (Burdwan),INR 20 Lacs - 30 Lacs,Other Masters Degree in Engineering/Computers,Salaried - Private,Parent,Never Married,5.07
2024-05-09,0,2529,207,3,4,2024-06-24,Male,38,Howrah,INR 2 Lacs - 4 Lacs,M.Sc,Salaried - Private,Relative,Never Married,5.08
2024-05-16,0,1079,71,3,2,2024-05-30,Female,27,Kolkata,INR 6 Lacs - 8 Lacs,MBBS,Professional,Parent,Never Married,5.02
2024-05-16,0,539,13,3,4,2024-05-24,Male,37,Hong Kong Island,Above 1 Crore,B.Tech,Salaried - Private,Parent,Divorced,5.07
2024-05-19,0,390,72,3,3,2024-05-20,Male,34,Kolkata,INR 18 Lacs - 20 Lacs,B.Tech,Salaried - Private,Self,Never Married,5.06
2024-05-19,0,1662,103,3,2,2024-05-20,Male,32,Suri,INR 2 Lacs - 4 Lacs,B.Tech,Business/Self Employed,Self,Never Married,5.1
2024-05-20,0,250,7,3,2,2024-05-21,Male,37,South 24 Parganas,INR 6 Lacs - 8 Lacs,M.A,Business/Self Employed,Self,Never Married,5.09
2024-05-22,0,3976,189,3,3,2024-05-23,Male,28,Mortimer Common,INR 30 Lacs - 40 Lacs,M.A,Professional,Parent,Never Married,5.07
2024-05-27,0,1606,1533,3,3,2024-05-28,Male,35,Bamangachhi,INR 6 Lacs - 8 Lacs,M.A,Salaried - Private,Parent,Never Married,5.06
2024-05-29,0,253,21,3,1,2024-05-29,Male,31,Siliguri,INR 4 Lacs - 6 Lacs,MBA,Salaried - Private,Parent,Never Married,5.06
2024-06-04,0,122,28,3,3,2024-07-06,Female,32,Bangalore Rural,INR 18 Lacs - 20 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.04
2024-06-04,0,485,13,3,8,2024-06-05,Male,34,Tarakeswar,Upto INR 2 Lacs,B.A,Business/Self Employed,Self,Never Married,5.02
2024-06-07,0,402,182,3,2,2024-06-08,Male,43,Malda,INR 4 Lacs - 6 Lacs,B.Sc,Salaried - Government/PSU,Self,Divorced,5.11
2024-06-14,0,635,7,3,1,2024-06-17,Male,39,Bardhaman (Burdwan),INR 4 Lacs - 6 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,5.08
2024-06-16,0,471,25,3,2,2024-06-30,Male,41,Cooch Behar,INR 8 Lacs - 10 Lacs,MLIS,Salaried - Government/PSU,Self,Never Married,5.05
2024-06-17,0,1044,76,3,1,2024-06-17,Female,26,Bangalore Rural,INR 8 Lacs - 10 Lacs,MBA,Salaried - Private,Parent,Never Married,5.02
2024-06-19,0,337,12,3,2,2024-06-30,Male,31,Kolkata,INR 12 Lacs - 15 Lacs,BBA,Business/Self Employed,Parent,Divorced,5.1
2024-06-21,0,466,27,3,1,2024-06-25,Male,30,Basirhat,INR 6 Lacs - 8 Lacs,BCA,Salaried - Private,Self,Never Married,5.04
2024-06-22,0,627,101,3,3,2024-06-25,Male,49,Durgapur,INR 2 Lacs - 4 Lacs,B.A (Hons.),Business/Self Employed,Self,Divorced,5.08
2024-06-22,0,7013,950,3,2,2024-06-24,Male,34,Kolkata,INR 8 Lacs - 10 Lacs,B.Tech,Salaried - Government/PSU,Parent,Never Married,5.08
2024-06-25,0,1019,21,3,2,2024-06-25,Male,32,Agartala,INR 20 Lacs - 30 Lacs,MBA,Salaried - Private,Parent,Never Married,5.08
2024-06-27,0,75,16,3,0,2024-06-27,Male,44,Kolkata,INR 4 Lacs - 6 Lacs,B.A,Salaried - Private,Parent,Never Married,5.09
2024-06-28,0,709,52,3,1,2024-06-28,Male,35,Kolkata,INR 12 Lacs - 15 Lacs,Ph.D.,Salaried - Government/PSU,Parent,Divorced,5.08
2024-06-28,0,970,23,3,3,2024-07-13,Female,27,Bardhaman (Burdwan),INR 2 Lacs - 4 Lacs,MS,Medical Field,Parent,Never Married,5.04
2024-06-30,0,783,64,3,2,2024-07-01,Male,37,Alipur,INR 4 Lacs - 6 Lacs,Higher Secondary School,Business/Self Employed,Self,Divorced,5.08
2024-07-01,0,181,7,3,1,2024-07-02,Male,33,South 24 Parganas,INR 4 Lacs - 6 Lacs,B.A,Business/Self Employed,Parent,Never Married,5.1
2024-07-09,0,1244,32,3,2,2024-07-10,Male,31,Haldia,INR 10 Lacs - 12 Lacs,Higher Secondary School,Salaried - Private,Self,Never Married,5.03
2024-07-12,0,76,1,3,5,2024-07-13,Male,40,Basirhat,INR 2 Lacs - 4 Lacs,B.A (Hons.),Business/Self Employed,Self,Never Married,5.04
2024-07-14,0,319,2,3,1,2024-07-16,Male,37,Habra,INR 6 Lacs - 8 Lacs,Higher Secondary School,Business/Self Employed,Self,Never Married,5.08
2024-07-23,187,327,24,3,0,2024-07-23,Male,38,Hugli-Chinsurah,INR 12 Lacs - 15 Lacs,MBA,Salaried - Private,Parent,Never Married,5.08
2024-07-25,1,172,10,3,2,2024-07-26,Male,58,Kolkata,INR 51 Lacs - 60 Lacs,MBA,Professional,Self,Widow / Widower,5.08
2024-08-05,273,764,172,3,2,2024-08-07,Male,34,Kolkata,INR 4 Lacs - 6 Lacs,Higher Secondary School,Salaried - Private,Parent,Never Married,5.06
2024-08-05,995,1363,12,3,3,2024-08-06,Male,29,Kolkata,INR 30 Lacs - 40 Lacs,MBA,Salaried - Private,Parent,Never Married,5.11
2024-08-15,10,40,1,3,2,2024-08-16,Male,54,Falta,INR 4 Lacs - 6 Lacs,B.Com,Business/Self Employed,Self,Never Married,5.04
2024-08-18,1319,1417,2767,3,1,2024-08-18,Male,44,Mumbai,INR 41 Lacs - 50 Lacs,MBA,Salaried - Private,Self,Divorced,5.04
2024-08-20,69,235,15,3,3,2024-09-05,Male,29,Minakhan,INR 4 Lacs - 6 Lacs,Polytechnic,Salaried - Government/PSU,Self,Never Married,5.08
2024-08-25,280,406,10,3,2,2024-08-26,Male,35,Arambag,INR 6 Lacs - 8 Lacs,B.Sc,Salaried - Government/PSU,Self,Never Married,5.1
2024-09-01,300,315,47,3,3,2024-09-02,Male,26,Berhampore,INR 6 Lacs - 8 Lacs,B.A,Salaried - Private,Parent,Never Married,5.04
2024-09-07,332,539,119,3,1,2024-09-10,Male,58,Tamluk,INR 2 Lacs - 4 Lacs,B.Com,Salaried - Private,Self,Widow / Widower,5.05
2024-09-27,2,1,0,3,2,2024-09-27,Male,60,Bankura,INR 30 Lacs - 40 Lacs,B.Com,Business/Self Employed,Self,Widow / Widower,5.05
2024-09-29,285,289,47,3,0,2024-09-29,Male,24,Jersey City,"Upto USD 45,000",B.Com,Salaried - Private,Parent,Never Married,5.07
2024-10-07,1711,429,31,3,3,2024-10-08,Male,29,Kolkata,INR 10 Lacs - 12 Lacs,MBA,Salaried - Government/PSU,Parent,Never Married,5.07
2024-10-16,5244,854,289,3,0,2024-10-17,Male,41,Kolkata,"EU 45,000 - 50,000",Ph.D.,Salaried - Private,Self,Divorced,5.06
2024-10-21,214,16,3,3,0,2024-10-22,Male,31,Panskura,INR 6 Lacs - 8 Lacs,B.Tech,Salaried - Private,Self,Divorced,5.03
2023-09-23,0,235,34,2,0,2023-09-23,Male,32,Gurgaon,INR 20 Lacs - 30 Lacs,BCA,Salaried - Private,Parent,Never Married,5.11
2023-09-24,0,839,112,2,4,2023-11-12,Female,28,Kolkata,INR 2 Lacs - 4 Lacs,B.Sc (Hons.),Salaried - Private,Parent,Never Married,5.04
2023-09-24,0,3206,117,2,2,2023-10-15,Male,34,Kolkata,INR 12 Lacs - 15 Lacs,MBA,Professional,Self,Never Married,5.06
2023-09-24,0,163,9,2,3,2023-09-30,Female,28,Kolkata,Not Working,Other Masters Degree in Management,Not working,Parent,Never Married,5.01
2023-09-25,0,3756,31,2,5,2023-10-04,Male,31,Kolkata,INR 15 Lacs - 18 Lacs,BE,Salaried - Private,Parent,Never Married,5.08
2023-09-25,0,1484,4,2,1,2023-10-03,Male,32,Bavaria,Above 1 Crore,M.Tech,Salaried - Private,Parent,Never Married,5.05
2023-09-27,0,450,110,2,3,2023-11-24,Male,29,Hooghly,INR 4 Lacs - 6 Lacs,Secondary School,Professional,Self,Never Married,5.05
2023-09-27,0,508,59,2,1,2023-10-01,Female,38,Basirhat,Upto INR 2 Lacs,B.Ed,Salaried - Private,Self,Never Married,5.0
2023-09-28,0,67,9,2,0,2023-09-29,Male,36,Krishnachandrapur,Upto INR 2 Lacs,Secondary School,Business/Self Employed,Self,Never Married,5.05
2023-09-28,0,2641,2,2,0,2023-09-29,Male,38,Tufanganj,INR 4 Lacs - 6 Lacs,B.A,Professional,Parent,Divorced,5.05
2023-09-28,0,149,139,2,0,2023-09-28,Male,30,Kolkata,INR 30 Lacs - 40 Lacs,B.Tech,Salaried - Private,Parent,Never Married,5.06
2023-09-28,0,2651,365,2,3,2023-11-11,Male,37,Amta,INR 6 Lacs - 8 Lacs,B.A (Hons.),Business/Self Employed,Parent,Never Married,5.07
2023-09-29,0,371,1,2,5,2023-11-12,Male,66,Hooghly,INR 2 Lacs - 4 Lacs,High School,Business/Self Employed,Self,Widow / Widower,5.1
2023-09-29,0,2418,102,2,0,2023-09-29,Male,34,Kolkata,INR 8 Lacs - 10 Lacs,MCA,Salaried - Private,Parent,Never Married,5.09
2023-09-30,0,517,10,2,0,2023-10-02,Female,28,Durgapur,INR 4 Lacs - 6 Lacs,BHM (Hotel Management),Salaried - Private,Parent,Never Married,5.03
